,datetime,site,geometry,SWE,SWE_units,MAX AIR TEMP,MAX AIR TEMP_units,PRECIPITATION,PRECIPITATION_units,datasource
0,1990-01-01 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),2.3,in,26.42,degF,0.0,in,NRCS
1,1990-01-02 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),2.3,in,23.54,degF,0.0,in,NRCS
2,1990-01-03 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),2.3,in,18.5,degF,0.0,in,NRCS
3,1990-01-04 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),2.3,in,12.02,degF,0.1,in,NRCS
4,1990-01-05 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),2.4,in,19.58,degF,0.0,in,NRCS
5,1990-01-06 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),2.4,in,25.16,degF,0.1,in,NRCS
6,1990-01-07 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),2.4,in,25.52,degF,0.0,in,NRCS
7,1990-01-08 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),2.4,in,26.78,degF,0.2,in,NRCS
8,1990-01-09 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),2.5,in,37.58,degF,0.0,in,NRCS
9,1990-01-10 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),2.5,in,37.4,degF,0.0,in,NRCS
10,1990-01-11 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),2.5,in,44.42,degF,0.0,in,NRCS
11,1990-01-12 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),2.5,in,39.56,degF,0.0,in,NRCS
12,1990-01-13 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),2.5,in,29.48,degF,0.3,in,NRCS
13,1990-01-14 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),2.8,in,30.02,degF,0.1,in,NRCS
14,1990-01-15 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),2.8,in,30.56,degF,0.1,in,NRCS
15,1990-01-16 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),2.9,in,21.92,degF,0.0,in,NRCS
16,1990-01-17 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),2.9,in,22.46,degF,0.0,in,NRCS
17,1990-01-18 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),2.9,in,20.48,degF,0.1,in,NRCS
18,1990-01-19 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),2.9,in,19.22,degF,0.1,in,NRCS
19,1990-01-20 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),3.0,in,19.4,degF,0.0,in,NRCS
20,1990-01-21 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),3.0,in,26.06,degF,0.0,in,NRCS
