datetime,geometry,PRECIPITATION,PRECIPITATION_units,AVG AIR TEMP,AVG AIR TEMP_units,SWE,SWE_units,SNOWDEPTH,SNOWDEPTH_units,datasource
2022-11-01 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.254,in,0.9999999999999984,degF,2.54,in,12.7,in,NRCS
2022-11-02 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.0,in,2.1000000000000005,degF,2.54,in,12.7,in,NRCS
2022-11-03 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),1.016,in,-3.8000000000000003,degF,2.54,in,10.16,in,NRCS
2022-11-04 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.254,in,-7.6000000000000005,degF,3.5559999999999996,in,22.86,in,NRCS
2022-11-05 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.508,in,-4.099999999999999,degF,3.81,in,22.86,in,NRCS
2022-11-06 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.0,in,-0.7000000000000008,degF,4.318,in,20.32,in,NRCS
2022-11-07 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.0,in,3.5999999999999983,degF,4.318,in,17.78,in,NRCS
2022-11-08 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.0,in,3.5999999999999983,degF,4.318,in,20.32,in,NRCS
2022-11-09 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.254,in,-0.09999999999999984,degF,4.318,in,20.32,in,NRCS
2022-11-10 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.0,in,-9.700000000000001,degF,4.572,in,25.4,in,NRCS
2022-11-11 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.254,in,-10.5,degF,4.572,in,22.86,in,NRCS
2022-11-12 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.0,in,-7.6000000000000005,degF,4.572,in,25.4,in,NRCS
2022-11-13 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.0,in,-4.9,degF,4.572,in,22.86,in,NRCS
2022-11-14 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.0,in,-8.7,degF,4.572,in,25.4,in,NRCS
2022-11-15 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.0,in,-12.5,degF,4.572,in,22.86,in,NRCS
2022-11-16 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.0,in,-10.899999999999999,degF,4.572,in,25.4,in,NRCS
2022-11-17 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.0,in,-8.600000000000001,degF,4.572,in,25.4,in,NRCS
2022-11-18 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.0,in,-9.600000000000001,degF,4.572,in,25.4,in,NRCS
2022-11-19 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.0,in,-9.200000000000001,degF,4.572,in,25.4,in,NRCS
2022-11-20 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.0,in,-6.0,degF,4.572,in,22.86,in,NRCS
2022-11-21 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.0,in,-3.6999999999999997,degF,4.572,in,22.86,in,NRCS
2022-11-22 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.254,in,-3.8000000000000003,degF,4.572,in,22.86,in,NRCS
2022-11-23 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.0,in,-6.5,degF,4.572,in,22.86,in,NRCS
2022-11-24 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.0,in,-7.200000000000001,degF,4.572,in,22.86,in,NRCS
2022-11-25 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.254,in,-2.7999999999999994,degF,4.572,in,22.86,in,NRCS
2022-11-26 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.0,in,-2.2000000000000006,degF,4.826,in,22.86,in,NRCS
2022-11-27 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.0,in,-6.199999999999999,degF,4.826,in,22.86,in,NRCS
2022-11-28 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.762,in,-5.3,degF,4.826,in,22.86,in,NRCS
2022-11-29 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),1.27,in,-13.600000000000001,degF,5.3340000000000005,in,38.1,in,NRCS
2022-11-30 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.254,in,-10.2,degF,6.604,in,40.64,in,NRCS
2022-12-01 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.0,in,-4.0,degF,6.8580000000000005,in,38.1,in,NRCS
2022-12-02 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),1.27,in,-5.499999999999999,degF,6.8580000000000005,in,35.56,in,NRCS
2022-12-03 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.508,in,-5.599999999999999,degF,8.128,in,43.18,in,NRCS
2022-12-04 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.254,in,-1.4999999999999996,degF,8.636,in,45.72,in,NRCS
2022-12-05 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.508,in,-2.2000000000000006,degF,8.636,in,43.18,in,NRCS
2022-12-06 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),1.016,in,-5.199999999999999,degF,9.144,in,45.72,in,NRCS
2022-12-07 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.254,in,-4.299999999999999,degF,10.16,in,58.42,in,NRCS
2022-12-08 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.254,in,-10.2,degF,10.414,in,55.88,in,NRCS
2022-12-09 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.0,in,-10.299999999999999,degF,10.668000000000001,in,55.88,in,NRCS
2022-12-10 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.0,in,-8.7,degF,10.668000000000001,in,53.34,in,NRCS
2022-12-11 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.254,in,-4.9,degF,10.668000000000001,in,53.34,in,NRCS
2022-12-12 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.0,in,-6.300000000000001,degF,10.668000000000001,in,50.8,in,NRCS
2022-12-13 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.0,in,-12.899999999999999,degF,10.668000000000001,in,50.8,in,NRCS
2022-12-14 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.0,in,-12.899999999999999,degF,10.668000000000001,in,50.8,in,NRCS
2022-12-15 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.0,in,-14.5,degF,10.668000000000001,in,50.8,in,NRCS
2022-12-16 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.0,in,-18.2,degF,10.668000000000001,in,50.8,in,NRCS
2022-12-17 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.0,in,-14.2,degF,10.668000000000001,in,50.8,in,NRCS
2022-12-18 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.254,in,-11.2,degF,10.668000000000001,in,50.8,in,NRCS
2022-12-19 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.0,in,-10.699999999999998,degF,10.921999999999999,in,50.8,in,NRCS
2022-12-20 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.254,in,-9.300000000000002,degF,10.921999999999999,in,48.26,in,NRCS
2022-12-21 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.254,in,-8.3,degF,11.176000000000002,in,50.8,in,NRCS
2022-12-22 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.254,in,-11.0,degF,11.43,in,53.34,in,NRCS
2022-12-23 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.254,in,-7.799999999999999,degF,11.684,in,53.34,in,NRCS
2022-12-24 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.0,in,-5.599999999999999,degF,11.938,in,53.34,in,NRCS
2022-12-25 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.0,in,-3.200000000000001,degF,11.938,in,53.34,in,NRCS
2022-12-26 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.0,in,-2.5,degF,11.938,in,53.34,in,NRCS
2022-12-27 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.762,in,-1.7999999999999992,degF,11.938,in,53.34,in,NRCS
2022-12-28 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.762,in,-4.0,degF,12.7,in,58.42,in,NRCS
2022-12-29 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.0,in,-11.800000000000002,degF,13.462,in,68.58,in,NRCS
2022-12-30 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),1.016,in,-9.700000000000001,degF,13.462,in,68.58,in,NRCS
2022-12-31 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),2.54,in,-3.6999999999999997,degF,14.478000000000002,in,78.74,in,NRCS
2023-01-01 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),1.27,in,-2.7999999999999994,degF,17.018,in,86.36,in,NRCS
2023-01-02 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.508,in,-6.799999999999999,degF,18.288,in,96.52,in,NRCS
2023-01-03 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.762,in,-9.8,degF,18.541999999999998,in,93.98,in,NRCS
2023-01-04 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.254,in,-11.800000000000002,degF,19.304,in,101.6,in,NRCS
2023-01-05 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.254,in,-7.1000000000000005,degF,19.304,in,96.52,in,NRCS
2023-01-06 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),1.27,in,-6.5,degF,19.558,in,91.44,in,NRCS
2023-01-07 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.0,in,-8.4,degF,20.828,in,104.14,in,NRCS
2023-01-08 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.254,in,-7.3999999999999995,degF,20.828,in,104.14,in,NRCS
2023-01-09 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.508,in,-4.800000000000001,degF,20.828,in,99.06,in,NRCS
2023-01-10 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),1.524,in,-2.999999999999999,degF,21.336000000000002,in,96.52,in,NRCS
2023-01-11 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.508,in,-7.8999999999999995,degF,22.86,in,109.22,in,NRCS
2023-01-12 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.254,in,-9.100000000000001,degF,23.114,in,111.76,in,NRCS
2023-01-13 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.254,in,-4.099999999999999,degF,23.368,in,106.68,in,NRCS
2023-01-14 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.254,in,-2.7999999999999994,degF,23.368,in,104.14,in,NRCS
2023-01-15 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),0.762,in,-5.700000000000001,degF,23.622000000000003,in,99.06,in,NRCS
2023-01-16 08:00:00+00:00,POINT Z (-106.95327 38.89435 10190),1.016,in,-7.3999999999999995,degF,24.384,in,111.76,in,NRCS
