datetime,geometry,PRECIPITATION,PRECIPITATION_units,AVG AIR TEMP,AVG AIR TEMP_units,SWE,SWE_units,SNOWDEPTH,SNOWDEPTH_units,datasource
2022-11-01 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),0.508,in,-2.000000000000001,degF,7.62,in,30.48,in,NRCS
2022-11-02 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),0.0,in,0.29999999999999954,degF,7.8740000000000006,in,30.48,in,NRCS
2022-11-03 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),1.7779999999999998,in,-5.3,degF,7.62,in,25.4,in,NRCS
2022-11-04 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),0.254,in,-10.5,degF,9.398000000000001,in,38.1,in,NRCS
2022-11-05 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),0.762,in,-5.3,degF,9.398000000000001,in,35.56,in,NRCS
2022-11-06 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),0.254,in,-1.4999999999999996,degF,9.906,in,38.1,in,NRCS
2022-11-07 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),0.0,in,1.1999999999999982,degF,10.16,in,38.1,in,NRCS
2022-11-08 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),0.0,in,0.4999999999999992,degF,9.906,in,33.02,in,NRCS
2022-11-09 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),0.762,in,-3.099999999999999,degF,9.906,in,33.02,in,NRCS
2022-11-10 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),0.0,in,-12.200000000000001,degF,10.668000000000001,in,38.1,in,NRCS
2022-11-11 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),0.0,in,-15.200000000000001,degF,10.668000000000001,in,40.64,in,NRCS
2022-11-12 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),0.254,in,-10.699999999999998,degF,10.668000000000001,in,40.64,in,NRCS
2022-11-13 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),0.254,in,-8.600000000000001,degF,10.921999999999999,in,40.64,in,NRCS
2022-11-14 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),0.254,in,-11.9,degF,10.921999999999999,in,40.64,in,NRCS
2022-11-15 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),0.0,in,-15.299999999999999,degF,11.176000000000002,in,40.64,in,NRCS
2022-11-16 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),0.0,in,-14.1,degF,11.176000000000002,in,40.64,in,NRCS
2022-11-17 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),0.254,in,-11.5,degF,11.176000000000002,in,43.18,in,NRCS
2022-11-18 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),0.0,in,-12.799999999999999,degF,11.43,in,43.18,in,NRCS
2022-11-19 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),0.254,in,-13.199999999999998,degF,11.43,in,43.18,in,NRCS
2022-11-20 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),0.508,in,-10.2,degF,11.684,in,43.18,in,NRCS
2022-11-21 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),0.254,in,-7.3999999999999995,degF,12.192,in,43.18,in,NRCS
2022-11-22 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),0.254,in,-7.8999999999999995,degF,12.446000000000002,in,43.18,in,NRCS
2022-11-23 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),0.0,in,-9.300000000000002,degF,12.7,in,43.18,in,NRCS
2022-11-24 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),0.254,in,-10.399999999999999,degF,12.7,in,43.18,in,NRCS
2022-11-25 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),0.254,in,-6.1000000000000005,degF,12.7,in,43.18,in,NRCS
2022-11-26 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),0.254,in,-5.3,degF,12.953999999999999,in,45.72,in,NRCS
2022-11-27 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),0.508,in,-7.6000000000000005,degF,13.208,in,43.18,in,NRCS
2022-11-28 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),2.032,in,-6.799999999999999,degF,13.208,in,40.64,in,NRCS
2022-11-29 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),1.524,in,-15.800000000000002,degF,15.24,in,76.2,in,NRCS
2022-11-30 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),1.016,in,-11.0,degF,16.764,in,81.28,in,NRCS
2022-12-01 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),0.0,in,-5.0,degF,17.272,in,73.66,in,NRCS
2022-12-02 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),3.048,in,-7.200000000000001,degF,17.272,in,63.5,in,NRCS
2022-12-03 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),1.016,in,-5.900000000000001,degF,20.32,in,83.82000000000001,in,NRCS
2022-12-04 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),0.254,in,-2.1000000000000005,degF,21.082,in,86.36,in,NRCS
2022-12-05 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),1.016,in,-3.6000000000000005,degF,21.336000000000002,in,86.36,in,NRCS
2022-12-06 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),2.286,in,-7.1000000000000005,degF,22.352000000000004,in,96.52,in,NRCS
2022-12-07 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),1.27,in,-6.199999999999999,degF,24.637999999999998,in,116.84,in,NRCS
2022-12-08 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),0.508,in,-12.600000000000001,degF,25.654,in,121.92,in,NRCS
2022-12-09 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),0.508,in,-12.200000000000001,degF,26.162000000000003,in,121.92,in,NRCS
2022-12-10 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),0.0,in,-11.0,degF,26.416,in,116.84,in,NRCS
2022-12-11 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),0.0,in,-7.200000000000001,degF,26.416,in,111.76,in,NRCS
2022-12-12 08:00:00+00:00,POINT Z (-107.04933 39.01467 10640),0.254,in,-9.0,degF,26.416,in,104.14,in,NRCS
